id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
36065794,吉卜力的天才们,"本书是日本动画制作人、吉卜力“掌舵人”铃木敏夫的代表作。
日本有个工作室叫吉卜力，诞生了两位天才大师——宫崎骏和高畑勋。但不为人所知的是，这两位天才的背后有一位策划师——铃木敏夫，可以说没有他，就没有现在的吉卜力。
从《风之谷》《龙猫》《千与千寻》等经典，到《你想活出怎样的人生》等备受瞩目的新作，本书讲述了吉卜力每部作品背后的故事。从创意的萌发，到创意实现途中遇到的种种问题，到吉卜力作为一家公司遇到的机遇和挑战，再到宫崎骏与高畑勋的友谊，铃木敏夫用诙谐幽默的语言，讲述了吉卜力一路走来的历程，分享天才们之所以为天才的秘密。",https://dou.img.lithub.cc/book/36065794.jpg,2022-10,https://book.douban.com/subject/36065794/,8.7,,4,,,2023-08-22 13:51:10,[日] 铃木敏夫 / 2022 / 南海出版公司
36364109,走出五代,“走出五代”是宋初政治体制调整的核心关切，对藩镇的措置是其中重要一环。讨论宋初的藩镇政策，须回溯到唐末五代，将其置于整个十世纪的政治社会变动中进行理解。本书从“方镇为国”的视角探讨了五代王朝建国道路的异同，梳理了“藩镇州郡化”诸项措施的渊源流变，勾勒出“藩镇时代”的地方政治人群活动，重绘了十世纪藩镇的多重面向，藉此呈现宋初“走出五代”的历史过程，并就十世纪地方行政的调整对宋代乃至中国古代地方行政制度的意义做了回答。,https://dou.img.lithub.cc/book/36364109.jpg,2023-5,https://book.douban.com/subject/36364109/,8.5,,5,,,2023-08-19 10:14:47,闫建飞 / 2023 / 四川人民出版社
2035162,刀锋,"威廉·萨默塞特·毛姆（1874-1965），英国著名小说家、戏剧家。《刀锋》是他的主要作品之一。
小说写一个参加第一次世界大战的美国青年飞行员拉里·达雷尔。在军队里，拉里结识了一个爱尔兰好友：这人平时是那样一个生龙活虎般的置生死于度外的飞行员，但在一次遭遇战中，因去救拉里而中弹牺牲。拉里因此对人生感到迷惘，弄不懂世界上为什么有恶和不幸，拉里开始了他令人匪夷所思的转变……",https://dou.img.lithub.cc/book/2035162.jpg,2007-3,https://book.douban.com/subject/2035162/,9,,5,,,2023-08-17 14:35:53,[英]毛姆 / 2007 / 上海译文出版社
26603137,危机与重构,"聂隐娘身处的时代与周遭具体如何？
诸侯割据怎样促成了大唐帝国的重建并走向了自身的终结？
作者于盘根错节之中抽丝剥笋，给人以读推理小说的奇妙感
“安史之乱”无疑是中国中古史上的大事关键，但相对于其重要性，既往的研究却还远远不够。本书从政治地理学切入，通过对唐代后半期   最为重要的政治群体之一——藩镇的实证性考 察，对唐帝国得以成功度过“安史之乱”这一中古史上之剧变，并在由此创发的新兴的藩镇体制下，重建其政治权威与统治力的问题，给出了一个合理的历史解释，为我们重新认识中古史提供了一条重要的线索。",https://dou.img.lithub.cc/book/26603137.jpg,2015-8-1,https://book.douban.com/subject/26603137/,9.1,,5,,,2023-07-17 08:19:06,李碧妍 / 2015 / 北京师范大学出版社
35886422,进入诗歌,本书是诗人、评论家王志军在北大的诗歌讲稿。新诗从诞生以来，误解和偏见颇多，这部讲稿围绕诗歌的基本问题——内容、抒情、声音、语言、结构和境界六个层面展开，澄清常见的误解，提出独到的认识。在作者看来，诗歌入门问题，也是根本问题，是现代诗歌观念的根基，理解了这些问题才能建立对现代诗歌乃至全部艺术最基本的审美意识。不同于当前不少诗论的晦涩、空泛，本书尤其注重对当代优秀诗作深度细读，力图通过下学而上达的经验主义进路，更具体、生动地阐明幽微之义。对于广大诗人和爱好者而言，这无疑是“进入诗歌之门”的一部带有启发和指南性质的读本。正如作者所说，“诗不是一种简单的体裁，而是对世界理解的方式，是关于我们自己和这世界恒久又新鲜的知识”。,https://dou.img.lithub.cc/book/35886422.jpg,2022-4-20,https://book.douban.com/subject/35886422/,8.7,,5,,,2023-07-16 22:41:29,王志军 / 2022 / 广西人民出版社
26889236,我的职业是小说家,"《我的职业是小说家》是村上春树首部自传性作品，历时六年完成。
一个人，写作三十五年，十三部长篇小说，超过五十种语言译本。虽然拥有享誉世界的知名度，但关于村上春树，许多事情始终包裹在神秘的面纱中：他是怎样下定决心走上职业小说家之路？对他来说，人生中幸福的事是什么？究竟如何看待芥川奖与诺贝尔文学奖……
小说家看似风光，却是份孤独的职业。三十五年来，村上春树在孤独中编织着美妙动人的故事。他以十二章肺腑之言，真挚诚恳又不失幽默地讲述自己写作道路上的故事，和追逐梦想与幸福的人生往事。
不论是作为声名显赫的作家，还是认真生活的普通人，他的故事都为人们带来信心和勇气。《我的职业是小说家》就是村上春树热爱生活、追求梦想的真实写照。",https://dou.img.lithub.cc/book/26889236.jpg,2017-1,https://book.douban.com/subject/26889236/,8.3,,4,,,2023-07-07 15:50:20,[日] 村上春树 / 2017 / 南海出版公司
3369600,当我谈跑步时我谈些什么,"他以文字名满全球。
他的“蓝调”令万千人神迷忧伤。
文字是他的符号，“跑者蓝调”何尝不是？
不再是浮华迷茫，不再是旖旎感伤，不再羚羊挂角无迹可寻——写了几十年“别人”的文字，他第一次只写自己：小说之外、故事之外、文字之外，均是不施雕琢娓娓道来，清淡如云，宁静如水……",https://dou.img.lithub.cc/book/3369600.jpg,2009-1,https://book.douban.com/subject/3369600/,8.2,,5,,,2023-07-03 22:12:00,[日] 村上春树 / 2009 / 南海出版公司
26954760,月亮与六便士,"“满地都是六便士，他却抬头看见了月亮。”
银行家查尔斯，人到中年，事业有成，为了追求内心隐秘的绘画梦想，突然抛妻别子，弃家出走。他深知：人的每一种身份都是一种自我绑架，唯有失去是通向自由之途。
在异国他乡，他贫病交加，对梦想却愈发坚定执着。他说：我必须画画，就像溺水的人必须挣扎。
在经历种种离奇遭遇后，他来到南太平洋的一座孤岛，同当地一位姑娘结婚生子，成功创作出一系列惊世杰作。就在此时，他被绝症和双目失明击倒，临死之前，他做出了让所有人震惊的决定……
人世漫长得转瞬即逝，有人见尘埃，有人见星辰。查尔斯就是那个终其一生在追逐星辰的人。",https://dou.img.lithub.cc/book/26954760.jpg,2017-1-1,https://book.douban.com/subject/26954760/,8.8,,4,,,2023-07-02 18:52:55,[英] 威廉·萨默塞特·毛姆 / 2017 / 浙江文艺出版社
26803714,人性的枷锁,"【内容简介】
《人性的枷锁》是毛姆具有自传性质的经典作品，也被认为是首屈一指、流传甚广的重要代表作。
和《月亮和六便士》《面纱》《刀锋》一道，奠定毛姆“故事圣手”基础和文学史独特地位。
故事以毛姆亲身经历为蓝本，描述了身有残疾的主人公菲利普从孤儿到长大的完整过程，
亲情、爱情、友情，校园、艺术、理想，在重重枷锁中，苦寻自由而难得，最终发现这都是人性的本来面目。
是否能摆脱这人性的枷锁？什么是长大，什么是成熟？答案在风中飘，带着笑和泪。
“你为什么不再写一部《人性的枷锁》这样的小说呢？”
“因为我的生命只有一次。搜集这个故事的材料花了我三十年。”
原名「史蒂芬·凯利的艺术人生」，首次出版于1915年；曾被数次改编为电影和话剧。
据班坦戴尔出版公司2006年版完整译出，参校兰登书屋2000年版。
★ 故事圣手毛姆的首推代表作，强悍写作功力的全面展示，字里行间透露作者真实的人生感喟；
★ 特别送上毛姆本人所写的序言，介绍本书的前因后果。译者写作导言，补充介绍毛姆其人其书；
★ 全一册，原貌呈现，保持文本原汁原味，不人为割裂作品的经典性（和其他译本比较而言）；
★ 根据英文经典版本完整译出，校以他版。由单人独立译完，一气呵成，前后连贯，保证品质如一；
★ 多达288条详细注解，精心挑选审定，帮助更好理解文本及文化背景，注释亦可单独阅读成章。
【名人推荐】
★ 天才的著作。毛姆是一位艺术大师。——著名作家西奥多·德莱塞，《美国的悲剧》作者
★ 毛姆是对我影响最深的现代作家。——著名作家乔治·奥威尔，《1984》作者
★ 毛姆一直在我最喜爱的作家之列。——著名作家加西亚·马尔克斯，《百年孤独》作者
★ 我们这个时代的全部作者，不可能对毛姆的大作做得到漠然。——戈尔·维达尔，美国作家、政论家
★ 听好了，对这本书我的感受只有四个字：无所不包！——美国著名歌手Nicki Minaj
★ 《人性的枷锁》毫无疑问当被列入“现代文学运动巨著一百种”。——英国著名文学批评家西里尔·柯诺利
【媒体推荐】

★ 二十世纪百佳小说作品之一。——现代图书馆（The Modern Library）
★ 作家毛姆广为流传的经典小说，每个字都有吸引力。——《纽约时报》
★ 毛姆九十岁时最喜欢读世界各地的读者来信，他的作品还在被千万人阅读。——《纽约客》
★ 毛姆的《人性的枷锁》是我读过最好的小说之一。平实的语言下藏着机锋。——美国亚马逊
★ 我爱上了这部小说，它像是在跟我说话，我沉醉其中。——Good Reads
★ 我会把毛姆的书推荐给任何一个朋友。——知乎网友
★ 期待毛姆带来的震撼。——《南方周末》",https://dou.img.lithub.cc/book/26803714.jpg,2016-5,https://book.douban.com/subject/26803714/,9.3,,5,,,2023-07-01 13:16:55,[英] 威廉·萨默塞特·毛姆 / 2016 / 江西人民出版社
36328704,太白金星有点烦,"太白金星李长庚最近有点烦。
天庭和西天联合推出了“西天取经”的重大项目，他受命策划九九八十一难，确保唐僧能安全走完流程，平稳取经成佛。老神仙本以为一切尽在掌控中，谁知天大的麻烦才刚刚开始：费用报销、工作汇报、人事安排、各路大仙塞来的条子、各地妖怪暗藏的心思，捋不出的千头万缕，做不完的琐碎繁杂……当大闹天宫的真相重新浮出水面，牵扯出无数因果，李长庚发觉自己成就金仙的道路越加渺茫。
【编辑推荐】
这是每一个成年人应该重读的西游故事。
太白金星李长庚最近有点烦。天庭和西天联合推出了“西天取经”的重大项目，他受命策划九九八十一难，确保项目无虞。老神仙本以为一切尽在掌控中，谁知天大的麻烦才刚刚开始。
项目过程中，如何报销活动费用？如何写工作汇报？如何平衡不同上级的诉求？如何应对突发状况？如何解决人事纠纷？一系列问题在不改变经典著作《西游记》结局的基础上展开了丰富有趣的职场生态，即便李长庚锦囊无数，也不免常常陷入焦虑。
都说神仙要“超脱因果，太上忘情”，都说不要在职场里动感情，太白金星却说，“很多人间执念我们无法理解，但不代表那些痛苦就不存在。”即使得了“仙”“佛”之号，依旧抛不下一个人字，有人，就有抛不下的牵挂、因果与苦乐得失。
打碎无意义的追逐，才是真的得道。
延续《长安的荔枝》小开本双封设计，随书附10张著名画家施晓颉所绘创意插图。
【媒体推荐】
地下取经队伍降妖除魔百般威武，天上神界仙界各怀心思斗智斗勇。现代视角另类演绎西游故事，就算成仙也得讲究职场智慧。
——《收获》杂志",https://dou.img.lithub.cc/book/36328704.jpg,2023-6,https://book.douban.com/subject/36328704/,9.1,,5,喜欢《太白》《荔枝》《大明》，远胜于《大医》。亲王的才华分我一半，圆我少年文学梦吧,,2023-06-24 22:49:32,马伯庸 / 2023 / 湖南文艺出版社
